index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.zeit.de/news/2023-09/01/viele-studierende-haben-einmalzahlung-noch-nicht-beantragt,https://www.zeit.de/news/2023-09/01/viele-studierende-haben-einmalzahlung-noch-nicht-beantragt,0,www.zeit.de,Energiepauschale: Viele Studierende haben Einmalzahlung noch nicht beantragt,,,2023-09-01T03:55:04Z,,"When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content. Some of the information stored on your device, … [+821 chars]",,de,'Energiepauschale'
https://www.stern.de/gesellschaft/regional/thueringen/energiepauschale--viele-studierende-haben-einmalzahlung-noch-nicht-beantragt-33786344.html,https://www.stern.de/gesellschaft/regional/thueringen/energiepauschale--viele-studierende-haben-einmalzahlung-noch-nicht-beantragt-33786344.html,0,www.stern.de,Energiepauschale: Viele Studierende haben Einmalzahlung noch nicht beantragt,Die 200 Euro Energiepauschale für Studierende hatten sich lange verzögert. Seit März läuft das Online-Portal. Kurz vor Ende der Frist haben aber viele Betroffene in Thüringen noch keinen Antrag gestellt.,https://image.stern.de/33786346/t/c7/v1/w1440/r1.7778/-/01--urnnewsmldpacom200901012309019934576v3w800h600l640t414r1920b1249jpeg---efae84943947edad.jpg,2023-09-01T03:55:04Z,,Die 200 Euro Energiepauschale für Studierende hatten sich lange verzögert. Seit März läuft das Online-Portal. Kurz vor Ende der Frist haben aber viele Betroffene in Thüringen noch keinen Antrag geste… [+1541 chars],,de,'Energiepauschale'
https://www.focus.de/earth/analyse/solar-und-wind-statt-kohle-und-gas-neue-zahlen-zeigen-europas-stromwunder_id_203321689.html,https://www.focus.de/earth/analyse/solar-und-wind-statt-kohle-und-gas-neue-zahlen-zeigen-europas-stromwunder_id_203321689.html,0,www.focus.de,Solar und Wind statt Kohle und Gas - Neue Zahlen zeigen Europas großes Stromwunder,Die Wende ist im vollen Gange: Die Stromgewinnung aus Kohle und Gas ist europaweit auf einem Tiefstand angekommen. Das Stromwunder hat zwei positive Ursachen - und eine weniger positive.,https://p6.focus.de/img/fotos/id_203322017/gettyimages-1498883407.jpg?im=Crop%3D%280%2C215%2C3219%2C1611%29%3BResize%3D%281200%2C627%29&impolicy=perceptual&quality=mediumHigh&hash=7aa56e8576ed36d449d15c300d53cd651751dc44bf2c8463eb1a761f57e64b5c,2023-09-01T04:40:54Z,,Die Wende ist im vollen Gange: Die Stromgewinnung aus Kohle und Gas ist europaweit auf einem Tiefstand angekommen. Das Stromwunder hat zwei positive Ursachen - und eine weniger positive.In der EU ist… [+2536 chars],,de,'Gas'
https://www.stern.de/familie/winterharte-balkonpflanzen--diese-sorten-eignen-sich-fuer-draussen-9491084.html,https://www.stern.de/familie/winterharte-balkonpflanzen--diese-sorten-eignen-sich-fuer-draussen-9491084.html,0,www.stern.de,Dekorativ und pflegeleicht: Balkonpflanzen für Herbst und Winter: Diese Gewächsen vertragen kalte Temperaturen,"So schön Balkonpflanzen auch sind, so haben die meisten von ihnen leider ein Verfallsdatum: Wenn die Temperaturen sinken, finden sich in vielen Blumenkübeln nur noch welke Pflanzenreste bis zum nächsten Frühjahr. Dabei gibt es winterharte Pflanzen, die den Ba…",https://image.stern.de/9491086/t/8-/v3/w1440/r1.7778/-/balkonpflanzen-winterhart.jpg,2023-09-01T05:45:00Z,https://web.archive.org/web/20230903153315/https://www.stern.de/familie/winterharte-balkonpflanzen--diese-sorten-eignen-sich-fuer-draussen-9491084.html,"Damit empfindliche Pflanzen im Herbst und Winter nicht eingehen, können sie übergangsweise ins Haus geholt und an einem kühlen Ort gelagert werden. Wer jedoch nicht den Platz dafür hat oder seinen Ba… [+5069 chars]",,de,'Kälte'
https://taz.de/Duerre-in-Syrien/!5920711/,https://taz.de/Duerre-in-Syrien/!5920711/,0,taz.de,Dürre in Syrien: Die Kinder tragen die Wasserlast,In Syrien macht Trockenheit den Menschen zu schaffen und Krankheiten breiten sich aus. Tägliches Wasserholen prägt besonders das Leben der Kleinsten.,https://taz.de/picture/6138217/948/33393653-1.jpeg,2023-09-01T06:12:00Z,,"In Syrien macht Trockenheit den Menschen zu schaffen und Krankheiten breiten sich aus. Tägliches Wasserholen prägt besonders das Leben der Kleinsten.
Tagein, tagaus Wasser nach Hause bringen teilwei… [+6621 chars]",,de,'Gas'
https://www.morgenpost.de/wirtschaft/article239336085/Bahn-Extremtest-Der-neue-ICE-L-im-Klimatunnel.html,https://www.morgenpost.de/wirtschaft/article239336085/Bahn-Extremtest-Der-neue-ICE-L-im-Klimatunnel.html,0,www.morgenpost.de,Deutsche Bahn: Bahn-Extremtest: Der neue ICE L im Klimatunnel,Die Deutsche Bahn nimmt nächstes Jahr einen neuen ICE in Betrieb. Davor wird der Zugtyp extremer Kälte und Hitze ausgesetzt. In gleich mehreren wesentlichen Merkmalen unterscheidet sich das neue Modell L von den bisher bekannten ICE-Zügen.,https://img.morgenpost.de/img/wirtschaft/crop239336083/0912609599-w820-cv16_9-q85/ICE-L-im-Klimatunnel.jpg,2023-09-01T06:51:13Z,https://web.archive.org/web/20230902021038/https://www.morgenpost.de/wirtschaft/article239336085/Bahn-Extremtest-Der-neue-ICE-L-im-Klimatunnel.html,"Wien. Es ist ein heißer Sommertag, doch eisiger Wind überzieht einen Zug der Deutschen Bahn mit einer weißen Frostschicht. Die Extreme, die sich dieser Tage in einer Testanlage in Wien abspielen, hab… [+4659 chars]",,de,'Kälte'
https://www.faz.net/aktuell/technik-motor/fuenf-am-freitag-da-fliegen-die-fetzen-19135733.html,https://www.faz.net/aktuell/technik-motor/fuenf-am-freitag-da-fliegen-die-fetzen-19135733.html,0,www.faz.net,Fünf am Freitag: Da fliegen die Fetzen,"Gasgrills sind praktisch, Kohlegrills weniger. Es raucht mehr und macht mehr Dreck. Dafür lässt sich die Kohle als Geschmacksverstärker einsetzen. Im Gegensatz zum Pelletgrill, der kleine Holzschnipsel für die Aromabefeuerung nutzt, ist die Auswahl der Grillk…",https://media0.faz.net/ppmedia/aktuell/4168470599/1.9131772/verkohl-mich-doch.jpg,2023-09-01T08:00:00Z,,"Bild: HerstellerVerkohl mich doch
Gasgrills sind praktisch, Kohlegrills weniger. Es raucht mehr und macht mehr Dreck. Dafür lässt sich die Kohle als Geschmacksverstärker einsetzen. Im Gegensatz zum … [+589 chars]",,de,'Kohle'
https://www.tagesspiegel.de/wirtschaft/rufe-nach-hilfe-vom-staat-schluss-mit-der-vollkaskomentalitat-der-unternehmen-10399765.html,https://www.tagesspiegel.de/wirtschaft/rufe-nach-hilfe-vom-staat-schluss-mit-der-vollkaskomentalitat-der-unternehmen-10399765.html,0,www.tagesspiegel.de,Rufe nach Hilfe vom Staat: Schluss mit der Vollkaskomentalität der Unternehmen!,"Deutschland ist nur dann zukunftsfähig, wenn die Wirtschaft volle Verantwortung für ihr Handeln übernimmt – und sich die Politik nicht instrumentalisieren lässt. Ein Gastbeitrag.",https://www.tagesspiegel.de/images/total-raffinerie-mitteldeutschland-abendlicht-chemiestandort-leuna-leuna-sachsen-anhalt-deutsc/alternates/BASE_16_9_W1400/total-raffinerie-mitteldeutschland-abendlicht-chemiestandort-leuna-leuna-sachsen-anhalt-deutsc.jpeg,2023-09-01T08:31:54Z,,"Die Forderungen von Unternehmen und Wirtschaftsverbänden nach Subventionen, Steuersenkungen und einem Industriestrompreis werden lauter. Die Rede ist von einer Deindustrialisierung und dem Niedergang… [+8348 chars]",,de,'Gas'
https://www.telepolis.de/features/Warum-werden-Putin-Gegner-in-Berlin-vom-Geheimdienst-ueberwacht-9291796.html,https://www.telepolis.de/features/Warum-werden-Putin-Gegner-in-Berlin-vom-Geheimdienst-ueberwacht-9291796.html,0,www.telepolis.de,Warum werden Putin-Gegner in Berlin vom Geheimdienst überwacht?,"Aktivisten forderten unter anderem schnelle Unabhängigkeit von russischem Gas. Warum das ein Fall für den Verfassungsschutz ist, bleibt geheim. Vermisst er hier Doppelmoral?",https://heise.cloudimg.io/bound/1200x1200/q85.png-lossy-85.webp-lossy-85.foil1/_www-heise-de_/imgs/18/4/2/9/5/5/8/2/interview-Kopie-768x576-a0d75107af819395.jpeg,2023-09-01T09:00:00Z,,"Der Protest vor der Gazprom-Zentrale in Berlin war auf den ersten Blick fast auf Regierungslinie. Nur wollten die Beteiligten wohl keinen Ersatz aus Katar. Foto: Amab
Aktivisten forderten unter ande… [+4390 chars]",,de,'Gas'
https://www.zeit.de/news/2023-09/01/schuelerzahl-in-hessen-steigt-auf-rund-798-000-kinder,https://www.zeit.de/news/2023-09/01/schuelerzahl-in-hessen-steigt-auf-rund-798-000-kinder,0,www.zeit.de,Bildung: Schülerzahl in Hessen steigt auf rund 798.000 Kinder,,,2023-09-01T10:05:58Z,https://web.archive.org/web/20230902110653/https://www.zeit.de/news/2023-09/01/schuelerzahl-in-hessen-steigt-auf-rund-798-000-kinder,"When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content. Some of the information stored on your device, … [+821 chars]",,de,'Kinder'
